topicno,rank,docid,score
1,1,iqr419fp,1.2863999605178833
1,2,ne5r4d4b,1.2822999954223633
1,3,lfndq85x,1.2821999788284302
1,4,d2knbzhl,1.2806999683380127
1,5,1e28zj1d,1.280400037765503
1,6,oxs048lr,1.2782000303268433
1,7,p0kv1pht,1.2763999700546265
1,8,zqf351sv,1.2762000560760498
1,9,llv3cvdr,1.2753000259399414
1,10,1qkwsh6a,1.2750999927520752
1,11,9dwpnvxf,1.2714999914169312
1,12,8bw843ek,1.270900011062622
1,13,kw7mon2o,1.270799994468689
1,14,2w0zr9c0,1.2688000202178955
1,15,yzp9wjuk,1.2684999704360962
1,16,6dbt99h0,1.2676000595092773
1,17,4npowkkz,1.2668999433517456
1,18,hncf2qe8,1.2667990922927856
1,19,sdtxi8xw,1.2666000127792358
1,20,yh1d2g75,1.2665990591049194
1,21,plxz5mkg,1.2654999494552612
1,22,m6akijzn,1.2653000354766846
1,23,vahts6pu,1.2652000188827515
1,24,lfo6otkc,1.2647000551223755
1,25,fkqohnyz,1.26419997215271
1,26,cetdqgff,1.2632999420166016
1,27,zsx7wfyj,1.2626999616622925
1,28,5fq57ma3,1.262699007987976
1,29,2inlyd0t,1.2623000144958496
1,30,1bvsn9e8,1.2620999813079834
1,31,imvbkt69,1.261199951171875
1,32,zdhg4axx,1.2608000040054321
1,33,sxbmd0df,1.2607990503311157
1,34,p6h2a0d5,1.260599970817566
1,35,7fxavlgx,1.2597999572753906
1,36,wuegn0jg,1.2597990036010742
1,37,1mjaycee,1.2596979141235352
1,38,ypgrw78s,1.2595970630645752
1,39,qxkxjxsz,1.2594959735870361
1,40,s4d442kx,1.2593950033187866
1,41,walpfa6r,1.2589999437332153
1,42,9il7coyk,1.2588990926742554
1,43,zhxrlopp,1.2584999799728394
1,44,9aegg5sd,1.2580000162124634
1,45,vp1r00m9,1.2578999996185303
1,46,qed8hayx,1.2577999830245972
1,47,xutbbxpr,1.257200002670288
1,48,h8ahn8fw,1.2568999528884888
1,49,xtibubra,1.2555999755859375
1,50,xad3k5aw,1.2553999423980713
1,51,629fwmgk,1.2551000118255615
1,52,11edrkav,1.2550990581512451
1,53,yat2exq9,1.2548999786376953
1,54,apc0lm5e,1.2544000148773193
1,55,q5inrxcm,1.2542999982833862
1,56,tku1dr32,1.2542990446090698
1,57,olmein3q,1.2538000345230103
